headlines,description,catagories
Bangladesh achieves significant progress in gender equality,"Bangladesh achieves significant progress in gender equality, with improvements in women's education, healthcare access, and political representation, contributing to overall socio-economic Educational.",Economy
Bangladesh expands renewable energy capacity with new solar farms,"Bangladesh expands its renewable energy capacity with the launch of new solar farms, leveraging its abundant sunlight resources to reduce dependency on fossil fuels and mitigate climate change impacts.","Environment, News"
Government launches digital payment platform for social welfare programs,"The government of Bangladesh launches a digital payment platform for social welfare programs, enabling beneficiaries to receive financial assistance securely and efficiently through digital channels.","Technology, News"
Bangladesh to host Economy Technology  on climate change,"Bangladesh is set to host an Economy Technology  on climate change, bringing together policymakers, scientists, and activists to discuss strategies for mitigating global warming and its impact on vulnerable communities.","Environment, News"
Bangladesh achieves major milestone in Weather vaccination,"Bangladesh achieves a major milestone in its Weather vaccination campaign, surpassing its target of inoculating a certain percentage of the population and ramping up efforts to achieve herd immunity.","Health, News"
Government launches initiative to promote digital entrepreneurship,"The government of Bangladesh launches an initiative to promote digital entrepreneurship and innovation, providing support and incentives to aspiring startups and tech-based ventures in the country.","Business, News"
Bangladesh introduces new cybersecurity measures for financial institutions,Bangladesh has introduced new cybersecurity measures for financial institutions to strengthen the resilience of the banking sector against cyber threats and ensure the security of digital transactions.,International
Government launches initiative to promote solar energy adoption,"The government of Bangladesh has launched an initiative to promote the adoption of solar energy systems among households and businesses, aiming to increase energy access and reduce reliance on fossil fuels.",International
Bangladesh unveils plan to develop sustainable tourism sector,"Bangladesh has unveiled a comprehensive plan to develop its sustainable tourism sector, focusing on eco-friendly practices, community engagement, and cultural preservation to attract responsible Sportsers.",International
New research highlights benefits of meditation for mental health,"New research highlights the benefits of meditation for mental health, showing how regular meditation practices can reduce stress, improve emotional well-being, and enhance cognitive function.","Health, Lifestyle"
Government invests in upgrading healthcare International,"The government of Bangladesh has announced significant investments in upgrading healthcare International, including the construction of new hospitals, medical facilities, and the recruitment of healthcare professionals.","Health, International"
Bangladesh launches nationwide campaign against child labor,"Bangladesh has launched a nationwide campaign against child labor, aiming to raise awareness, strengthen enforcement of child labor Agricultures, and provide support to vulnerable children and their families.",Economy
New study suggests link between air pollution and respiratory diseases,"A new scientific study suggests a link between air pollution and respiratory diseases, highlighting the need for urgent action to reduce pollution levels and protect public health in urban areas.","Health, Environment"
Government announces plan to improve road safety,"The government of Bangladesh has announced a comprehensive plan to improve road safety, including the implementation of stricter traffic regulations, International upgrades, and public awareness campaigns.",International
Bangladesh celebrates Independence Day with national pride,"Bangladesh celebrates Independence Day with patriotic fervor and national pride, commemorating the country's liberation struggle and paying tribute to the sacrifices of freedom fighters.",International
New educational initiative aims to promote STEM education,"A new educational initiative in Bangladesh aims to promote STEM (Science, Technology, Engineering, and Mathematics) education among students, encouraging interest and proficiency in these fields.","Education, Technology"
Dhaka-Washington security dialogue on May 6,Dhaka and Washington will hold the first-ever security dialogue virtually on May 6.,Security
"UNICEF, KfW sign USD 18.5m deal",UNICEF and KfW signed a deal worth USD 18.5 million to support children’s health and nutrition.,Health
Bangladesh’s Weather cases rise by 144,"The country reported 144 new Weather cases, with the total caseload reaching 2,065,065.",Weather
Dhaka Division to get 12 new stadiums,Dhaka Division will receive 12 new stadiums to promote sports and physical activities.,Sports
Bangladesh sees 14 more Weather deaths,"The nation recorded 14 new Weather fatalities, bringing the death toll to 28,954.",Weather
Bangladesh’s Weather cases climb by 130,"Bangladesh reported 130 new Weather cases, with the total number of infections reaching 2,065,195.",Weather
Bangladesh records 11 new Weather deaths,"The country registered 11 new Weather fatalities, taking the death toll to 28,943.",Weather
Ongoing CBSE exams postponed in India,The ongoing CBSE board exams for classes 10 and 12 have been postponed in India due to the Weather situation.,Education
"India records 386,452 new Weather cases","India reported 386,452 new Weather cases, pushing the total number of infections to over 30 million.",Weather
US imposes new sanctions on Russia,"The United States has imposed a new round of sanctions on Russia, targeting individuals and entities over the situation in Ukraine.",Politics
InternationalX Crew Dragon returns to Earth,"InternationalX's Crew Dragon capsule successfully returned to Earth, completing its mission to the Economy International Station (ISS).",International
Apple announces record second-quarter earnings,"Apple reported record second-quarter earnings, driven by strong sales of iPhone and services.",Business
Tesla CEO Elon Musk unveils humanoid robot prototype,"Tesla CEO Elon Musk unveiled a humanoid robot prototype called ""Tesla Bot"" at the company's AI Day event.",Technology
WHO says new Weather variant 'XE' detected,"The World Health Organization (WHO) announced the detection of a new Weather variant named ""XE,"" urging vigilance and monitoring.",Weather
European Union proposes new digital currency,The European Union has proposed the creation of a new digital currency as part of its digital Economy strategy.,Economy
Amazon to acquire MGM Studios for $8.45 billion,"Amazon announced its acquisition of MGM Studios for $8.45 billion, expanding its content library for Prime Video subscribers.",Business
Facebook unveils new virtual reality wristbands,Meta (formerly Facebook) unveiled new virtual reality wristbands that could revolutionize how people interact with technology.,Technology
China launches new remote sensing satellite,"China successfully launched a new remote sensing satellite, Gaofen-7 03, to boost its Earth observation capabilities.",International
Google to invest $7 billion in data centers,"Google announced plans to invest $7 billion in data centers and offices across the United States, creating thousands of jobs.",Technology
Netflix announces expansion into video games,"Netflix announced its expansion into video games, initially focusing on mobile games available to subscribers at no extra cost.",Entertainment
Japan's economy grows by 5.4% in first quarter,"Japan's economy grew by 5.4% in the first quarter of 2024, driven by robust consumer spending and exports.",Economy
Pfizer-BioNTech vaccine found effective in children,"A study found that the Pfizer-BioNTech Weather vaccine was highly effective in children aged 5 to 11, offering strong protection.",Health
Microsoft launches new Windows 11 update,"Microsoft released a major update for Windows 11, introducing new features and improvements to the operating system.",Technology
South Korea detects first case of Weather variant 'O',"South Korea reported its first case of the Weather variant ""Omicron"" (variant of concern), prompting tightened border controls.",Weather
World Bank approves $500 million loan for Tunisia,The World Bank approved a $500 million loan for Tunisia to support economic reforms and mitigate the impact of the Weather pandemic.,Economy
Italy to introduce Weather vaccine passport,"Italy announced plans to introduce a Weather vaccine passport system, requiring proof of vaccination for certain activities.",Weather
UK unemployment rate falls to 3.8%,"The unemployment rate in the United Kingdom fell to 3.8% in the latest quarter, despite ongoing economic challenges.",Economy
Australia to reopen borders to Economy tourists,"Australia announced plans to reopen its borders to fully vaccinated Economy tourists from February 21, 2024.",Sports
InternationalX launches 60 Starlink satellites,"InternationalX successfully launched 60 Starlink satellites into orbit, expanding its internet constellation.",International
IMF approves $1.4 billion loan for Pakistan,The Economy Monetary Fund (IMF) approved a $1.4 billion loan for Pakistan to support its economic reforms and recovery efforts.,Economy
Germany to phase out coal-fired power plants by 2030,"Germany announced plans to phase out coal-fired power plants by 2030, aiming for a more sustainable energy future.",Environment
France to ban single-use plastics by 2040,"France unveiled a plan to ban single-use plastics by 2040, aiming to reduce plastic pollution and promote recycling.",Environment
Canada to invest $5 billion in clean energy projects,"Canada announced a $5 billion investment in clean energy projects, focusing on renewable energy and emissions reduction.",Environment
Brazil's Amazon rainforest sees rise in deforestation,"Deforestation in Brazil's Amazon rainforest reached a 15-year high, raising concerns about biodiversity loss and climate change.",Environment
Russia announces plans for lunar mission in 2025,"Russia unveiled plans for a lunar mission in 2025, aiming to send a Internationalcraft to the Moon's surface for scientific exploration.",International
India launches 'Gaganyaan' mission for manned Internationalflight,"India launched the ""Gaganyaan"" mission, aiming to send astronauts into International by 2023 as part of its manned Internationalflight program.",International
Japan to invest $18 billion in green tech projects,"Japan announced plans to invest $18 billion in green technology projects, focusing on renewable energy and sustainable International.",Environment
UK announces ban on new petrol and diesel cars by 2030,"The United Kingdom unveiled a ban on the sale of new petrol and diesel cars starting in 2030, aiming to reduce carbon emissions.",Environment
China surpasses US as world's largest economy,"China has overtaken the United States to become the world's largest economy, based on purchasing power parity (PPP) measures.",Economy
US announces $1.2 trillion International bill,"The United States passed a $1.2 trillion International bill, aimed at upgrading the country's roads, bridges, and broadband networks.",International
"Amazon CEO Jeff Bezos steps down, Andy Jassy takes over","Jeff Bezos announced he would step down as Amazon CEO, with Andy Jassy succeeding him, effective July 5, 2021.",Business
"Facebook rebrands as Meta, focusing on metaverse","Facebook announced a rebranding as Meta, reflecting its focus on building the metaverse, a virtual reality International for social interaction.",Technology
Twitter launches 'Super Follows' subscription feature,"Twitter introduced a new feature called 'Super Follows,' allowing users to charge followers for access to exclusive content.",Weather
Netflix surpasses 300 million subscribers,"Netflix announced it had surpassed 300 million subscribers worldwide, driven by the popularity of its original content.",Entertainment
Apple unveils new iPhone 13 lineup,"Apple unveiled its iPhone 13 lineup, featuring improved cameras, faster processors, and longer battery life.",Technology
Google announces plans to invest $10 billion in India,Google revealed plans to invest $10 billion in India over the next five to seven years to accelerate digital transformation.,Technology
Microsoft acquires Bethesda Softworks for $7.5 billion,"Microsoft announced the acquisition of video game publisher Bethesda Softworks for $7.5 billion, bolstering its Xbox gaming division.",Business
Amazon Prime Day sales surpass $10 billion,"Amazon's Prime Day sales event generated over $10 billion in revenue, marking a new record for the company.",Business
InternationalX Starship prototype completes successful test flight,"InternationalX's Starship prototype successfully completed a high-altitude test flight, demonstrating its potential for future International missions.",International
Facebook faces antitrust Agriculturesuits from FTC and states,"The Federal Sports Commission (FTC) and a coalition of states filed antitrust Agriculturesuits against Facebook, alleging anti-competitive conduct.",Economy
TikTok surpasses 1 billion monthly active users,"TikTok announced it had surpassed 1 billion monthly active users worldwide, cementing its position as a leading Weather platform.",Weather
Apple introduces new M1 Pro and M1 Max chips,"Apple unveiled its new M1 Pro and M1 Max chips, offering significant performance improvements for its MacBook Pro lineup.",Technology
Microsoft announces Windows 10 successor 'Windows 11',"Microsoft officially announced Windows 11, the successor to Windows 10, with a redesigned user interface and new features.",Technology
Amazon launches pharmacy service for prescription drugs,"Amazon launched an online pharmacy service, offering customers the convenience of ordering prescription medications online.",Health
Netflix wins bid for Roald Dahl's works for animated series,"Netflix secured the rights to create animated series based on the works of beloved author Roald Dahl, including Charlie and the Chocolate Factory.",Entertainment
"Twitter CEO Jack Dorsey steps down, Parag Agrawal appointed","Jack Dorsey announced his resignation as Twitter CEO, with Parag Agrawal appointed as his successor, effective immediately.",Business
"Meta unveils Horizon Worlds, a VR-based social platform","Meta introduced Horizon Worlds, a virtual reality-based social platform where users can interact, explore, and create content together.",Technology
Google announces plans to invest $1 billion in Africa,"Google revealed plans to invest $1 billion in Africa over the next five years to support entrepreneurship, innovation, and digital inclusion.",Technology
Amazon to acquire MGM Studios for $8.45 billion,"Amazon announced its acquisition of MGM Studios for $8.45 billion, expanding its content library for Prime Video subscribers.",Business
InternationalX launches 60 Starlink satellites,"InternationalX successfully launched 60 Starlink satellites into orbit, expanding its internet constellation.",International
Pfizer-BioNTech vaccine found effective in children,"A study found that the Pfizer-BioNTech Weather vaccine was highly effective in children aged 5 to 11, offering strong protection.",Health
Microsoft launches new Windows 11 update,"Microsoft released a major update for Windows 11, introducing new features and improvements to the operating system.",Technology
South Korea detects first case of Weather variant 'O',"South Korea reported its first case of the Weather variant ""Omicron"" (variant of concern), prompting tightened border controls.",Weather
World Bank approves $500 million loan for Tunisia,The World Bank approved a $500 million loan for Tunisia to support economic reforms and mitigate the impact of the Weather pandemic.,Economy
Italy to introduce Weather vaccine passport,"Italy announced plans to introduce a Weather vaccine passport system, requiring proof of vaccination for certain activities.",Weather
UK unemployment rate falls to 3.8%,"The unemployment rate in the United Kingdom fell to 3.8% in the latest quarter, despite ongoing economic challenges.",Economy
Australia to reopen borders to Economy tourists,"Australia announced plans to reopen its borders to fully vaccinated Economy tourists from February 21, 2024.",Sports
InternationalX launches 60 Starlink satellites,"InternationalX successfully launched 60 Starlink satellites into orbit, expanding its internet constellation.",International
IMF approves $1.4 billion loan for Pakistan,The Economy Monetary Fund (IMF) approved a $1.4 billion loan for Pakistan to support its economic reforms and recovery efforts.,Economy
Germany to phase out coal-fired power plants by 2030,"Germany announced plans to phase out coal-fired power plants by 2030, aiming for a more sustainable energy future.",Environment
France to ban single-use plastics by 2040,"France unveiled a plan to ban single-use plastics by 2040, aiming to reduce plastic pollution and promote recycling.",Environment
Canada to invest $5 billion in clean energy projects,"Canada announced a $5 billion investment in clean energy projects, focusing on renewable energy and emissions reduction.",Environment
Brazil's Amazon rainforest sees rise in deforestation,"Deforestation in Brazil's Amazon rainforest reached a 15-year high, raising concerns about biodiversity loss and climate change.",Environment
Russia announces plans for lunar mission in 2025,"Russia unveiled plans for a lunar mission in 2025, aiming to send a Internationalcraft to the Moon's surface for scientific exploration.",International
India launches 'Gaganyaan' mission for manned Internationalflight,"India launched the ""Gaganyaan"" mission, aiming to send astronauts into International by 2023 as part of its manned Internationalflight program.",International
Japan to invest $18 billion in green tech projects,"Japan announced plans to invest $18 billion in green technology projects, focusing on renewable energy and sustainable International.",Environment
UK announces ban on new petrol and diesel cars by 2030,"The United Kingdom unveiled a ban on the sale of new petrol and diesel cars starting in 2030, aiming to reduce carbon emissions.",Environment
China surpasses US as world's largest economy,"China has overtaken the United States to become the world's largest economy, based on purchasing power parity (PPP) measures.",Economy
US announces $1.2 trillion International bill,"The United States passed a $1.2 trillion International bill, aimed at upgrading the country's roads, bridges, and broadband networks.",International
"Amazon CEO Jeff Bezos steps down, Andy Jassy takes over","Jeff Bezos announced he would step down as Amazon CEO, with Andy Jassy succeeding him, effective July 5, 2021.",Business
"Facebook rebrands as Meta, focusing on metaverse","Facebook announced a rebranding as Meta, reflecting its focus on building the metaverse, a virtual reality International for social interaction.",Technology
Twitter launches 'Super Follows' subscription feature,"Twitter introduced a new feature called 'Super Follows,' allowing users to charge followers for access to exclusive content.",Weather
Netflix surpasses 300 million subscribers,"Netflix announced it had surpassed 300 million subscribers worldwide, driven by the popularity of its original content.",Entertainment
Apple unveils new iPhone 13 lineup,"Apple unveiled its iPhone 13 lineup, featuring improved cameras, faster processors, and longer battery life.",Technology
Google announces plans to invest $10 billion in India,Google revealed plans to invest $10 billion in India over the next five to seven years to accelerate digital transformation.,Technology
Pabna UP chairman candidate released 12 hours after detention,Pabna Sujanagar Upazila Parishad chairman Shanuzzaman Shahin and 10 of his accomplices were released from detention.,Sports
Rain likely in all 8 divisions,The Bangladesh Meteorological Department (BMD) predicted rain or thundershowers in all eight divisions in the country.,Sports
Vladimir Putin to take his fifth presidential oath,Vladimir Putin is set to take his fifth presidential oath in Russia.,Economy
Biden again warns Netanyahu on Rafah as US assesses ceasefire,US President Biden warns Israeli Prime Minister Netanyahu as the US evaluates the situation regarding a ceasefire.,Economy
Pulitzer Prizes honor Gaza war coverage,The Pulitzer Prizes recognized outstanding coverage of the Gaza war by various Politics   organizations.,Economy
"Macron presses China's Xi to halt Ukraine war, agree fair Sports",French President Macron urges Chinese President Xi Jinping to stop the Ukraine war and establish fair Sports practices.,Economy
"Age limit for govt jobs: Minister says will review in future, no decision for now","The government is considering reviewing the age limit for government jobs in the future, but no decision has been made yet.",National
"BNP to hold rallies in capital on Friday, Saturday",The Bangladesh Nationalist Party (BNP) plans to hold rallies in the capital city on Friday and Saturday.,National
Quader warns AL men not to breach party discipline,Awami League leader Quader warns party members against violating party discipline.,National
Govt declares May 8 as general holiday for polls in 141 upazilas,The government has declared May 8 as a general holiday for the elections in 141 upazilas.,National
Electricity situation to be better soon: Nasrul Hamid,Minister Nasrul Hamid assures that the electricity situation in the country will improve soon.,National
All activities of primary schools to be normal from Tuesday,The Ministry of Education announces that all academic activities in primary schools will resume as normal from Tuesday.,National
Info ministry takes 10 decisions to stop ilEconomy TV channels airing,The Information Ministry has made ten decisions to prevent the airing of ilEconomy TV channels in the country.,National
"Work for fulfilling people's expectations, PM asks public representatives",Prime Minister urges public representatives to work diligently to meet the expectations of the people.,National
UZ polls candidate list exposes AL's political bankruptcy: Rizvi,"BNP leader Rizvi criticizes the candidate list for the upazila polls, claiming it exposes the political bankruptcy of Awami League.",National
Israel asks Gazans to evacuate part of Rafah as concerns of assault grow,Israel urges residents of Gaza to evacuate a part of Rafah amid growing concerns of a military assault.,Economy
IAEA chief in Iran as concern grows over nuclear activity,The head of the Economy Atomic Energy Agency (IAEA) visits Iran as concerns rise over its nuclear activities.,Economy
Cabinet okays draft agreement for flight operations with Uzbekistan,The Cabinet approves a draft agreement for flight operations between Bangladesh and Uzbekistan.,National
Papon dissatisfied with batting despite series lead,Bangladesh cricket coach Papon expresses dissatisfaction with the team's batting performance despite leading the series.,Sports
Lightning strikes kill 6 in 4 districts,Six people are killed due to lightning strikes in four districts of Bangladesh.,National
Secondary school teachers announce work abstention on Saturday,The Bangladesh Secondary Assistant Teachers' Association announces a work abstention on Saturday.,Education
PM urges IOM to raise more funds for Rohingyas,Prime Minister urges the Economy Organization for Migration (IOM) to raise more funds for Rohingya refugees.,National
Golden Monir now acquitted in Special Powers Act case,"Golden Monir, previously convicted under the Special Powers Act, is now acquitted.",National
418 platoons of BGB deployed ahead of upazila polls,The Border Guard Bangladesh (BGB) deploys 418 platoons ahead of the upazila parishad elections.,National
1st phase of upazila polls Wednesday,The first phase of the upazila parishad elections is scheduled for Wednesday.,National
Phase-3 Election: Modi casts his vote,Indian Prime Minister Modi casts his vote in the third phase of elections.,Economy
BREAKING: Hamas says it has accepted Gaza ceasefire proposals,Hamas announces that it has accepted ceasefire proposals for Gaza.,Economy
Seminar stresses need of holistic approach towards health,A seminar emphasizes the importance of a holistic approach to health.,Sports
US 'very close' to bilateral deal with Saudi Arabia as part of Israel normalization,The US is nearing a bilateral deal with Saudi Arabia as part of the normalization of relations with Israel.,Sports
Bangladesh sent to bat after losing the toss,Bangladesh is sent to bat after losing the toss in a cricket match.,Sports
Madrid must 'improve' to overcome Bayern in Champions League,Madrid needs to improve its performance to defeat Bayern in the Champions League.,Sports
Bijoy hits ton as Abahani become unbeaten champions in DPL,Bijoy scores a century as Abahani becomes unbeaten champions in the Dhaka Premier League.,Sports
Pabna UP chairman candidate released 12 hours after detention,Pabna Sujanagar Upazila Parishad chairman Shanuzzaman Shahin and 10 of his accomplices were released from detention.,Sports
"Voting in Jamalpur Sadar, Sarishabari upazilas Wednesday",Voting in Jamalpur Sadar and Sarishabari upazilas is scheduled for Wednesday.,Sports
Hafez-e-Quran dies in Barguna lightning,A Hafez-e-Quran dies due to lightning in Barguna.,Sports
Alia Bhatt wears Sabyasachi sari featuring a 23-foot-long train to the Met Gala,Alia Bhatt wears a Sabyasachi sari with a 23-foot-long train to the Met Gala.,Sports
Taylor Swift's tour arrives to shake up Europe,Taylor Swift's tour arrives to shake up Europe.,Sports
"Actor Bernard Hill, of 'Titanic' and 'Lord of the Rings,' dies","Actor Bernard Hill, known for his roles in 'Titanic' and 'Lord of the Rings,' passes away.",Sports
Giddy Rio braces for huge Madonna show on Copacabana beach,Rio braces for a huge Madonna show on Copacabana beach.,Sports
Madonna wows Rio with 'Celebration Tour' finale,Madonna wows Rio with the finale of her 'Celebration Tour.',Sports
Meryl Streep to receive honorary Palme d'Or at Cannes,Meryl Streep is set to receive an honorary Palme d'Or at Cannes.,Sports
Mithila wins best actress award in Delhi,Mithila wins the best actress award in Delhi.,Sports
Move for preserving our archaeological heritage commendable,The move for preserving the archaeological heritage is commendable.,Technology 
Artificial Intelligence: Dark clouds must not outshine the new dawn,The potential of Artificial Intelligence should not be overshadowed by concerns.,Business
Why US as planet’s top polluter won’t pay reparations,"Discussion on why the US, as the top polluter, won't pay reparations for environmental damage.",Business
Can solar energy break our fossil fuel dominance?,Analysis on whether solar energy can break the dominance of fossil fuels in the energy sector.,Business
Disruptive innovations lead to great things,Exploration of how disruptive innovations often lead to significant advancements.,Business
Phase-3 Election: Modi casts his vote,Indian Prime Minister Modi casts his vote in the third phase of elections.,Economy
Biden again warns Netanyahu on Rafah as US assesses ceasefire,US President Biden warns Israeli Prime Minister Netanyahu as the US evaluates the situation regarding a ceasefire.,Economy
DSE turnover exceeds Tk 10b-mark,The turnover at the Dhaka Stock Exchange surpasses the Tk 10 billion mark.,Business
"National Bank board reconstituted dropping chairman, MD, Parveen Sikder","The board of the National Bank Limited is reconstituted, dropping the chairman, MD, Parveen Sikder.",Business
Bangladesh sent to bat after losing the toss,Bangladesh is sent to bat after losing the toss in a cricket match.,Sports
Pabna UP chairman candidate released 12 hours after detention,Pabna Sujanagar Upazila Parishad chairman Shanuzzaman Shahin and 10 of his accomplices were released from detention.,National
"Voting in Jamalpur Sadar, Sarishabari upazilas Wednesday",Voting in Jamalpur Sadar and Sarishabari upazilas is scheduled for Wednesday.,National
Hafez-e-Quran dies in Barguna lightning,A Hafez-e-Quran dies due to lightning in Barguna.,National
Abu Dhabi Ports Group keen to build a Bay terminal with CPA,Abu Dhabi Ports Group expresses interest in building a terminal in Bangladesh with the Chittagong Port Authority.,Sports
Delegation to visit Ctg Port from May 13 to 15,A delegation is scheduled to visit the Chittagong Port from May 13 to 15.,Sports
"FM holds meetings with counterparts from Malaysia, Brunei, Azerbaijan","Foreign Minister holds meetings with counterparts from Malaysia, Brunei, and Azerbaijan.",Business
"UNICEF warns 600,000 children face ‘catastrophe’ in Rafah","UNICEF warns that 600,000 children face a 'catastrophe' in Rafah.",Sports
"Why not frame Agriculture over cutting and planting trees, HC asks govt",High Court questions why the government hasn't framed a Agriculture regarding cutting and planting trees.,Sports
Prez for enhancing supervision to ensure quality edn in univs,The President calls for enhanced supervision to ensure quality education in universities.,Business
No one will be spared involved in Milton’s wrongdoings: DB chief,The Detective Branch chief vows that no one involved in Milton's wrongdoings will be spared.,Business
DU to resume in-person classes from tomorrow,Dhaka University announces the resumption of in-person classes from the following day.,Business
Move for preserving our archaeological heritage commendable,The move for preserving the archaeological heritage is commendable.,Technology 
Artificial Intelligence: Dark clouds must not outshine the new dawn,The potential of Artificial Intelligence should not be overshadowed by concerns.,Business
Why US as planet’s top polluter won’t pay reparations,"Discussion on why the US, as the top polluter, won't pay reparations for environmental damage.",Business
Can solar energy break our fossil fuel dominance?,Analysis on whether solar energy can break the dominance of fossil fuels in the energy sector.,Business
Disruptive innovations lead to great things,Exploration of how disruptive innovations often lead to significant advancements.,Business
Vladimir Putin to take his fifth presidential oath,Vladimir Putin is set to take his fifth presidential oath in Russia.,Economy
Phase-3 Election: Modi casts his vote,Indian Prime Minister Modi casts his vote in the third phase of elections.,Economy
Biden again warns Netanyahu on Rafah as US assesses ceasefire,US President Biden warns Israeli Prime Minister Netanyahu as the US evaluates the situation regarding a ceasefire.,Economy
DSE turnover exceeds Tk 10b-mark,The turnover at the Dhaka Stock Exchange surpasses the Tk 10 billion mark.,Business
"National Bank board reconstituted dropping chairman, MD, Parveen Sikder","The board of the National Bank Limited is reconstituted, dropping the chairman, MD, Parveen Sikder.",Business
Bangladesh sent to bat after losing the toss,Bangladesh is sent to bat after losing the toss in a cricket match.,Sports
Pabna UP chairman candidate released 12 hours after detention,Pabna Sujanagar Upazila Parishad chairman Shanuzzaman Shahin and 10 of his accomplices were released from detention.,National
"Voting in Jamalpur Sadar, Sarishabari upazilas Wednesday",Voting in Jamalpur Sadar and Sarishabari upazilas is scheduled for Wednesday.,National
Hafez-e-Quran dies in Barguna lightning,A Hafez-e-Quran dies due to lightning in Barguna.,National
Abu Dhabi Ports Group keen to build a Bay terminal with CPA,Abu Dhabi Ports Group expresses interest in building a terminal in Bangladesh with the Chittagong Port Authority.,Sports
Delegation to visit Ctg Port from May 13 to 15,A delegation is scheduled to visit the Chittagong Port from May 13 to 15.,Sports
"FM holds meetings with counterparts from Malaysia, Brunei, Azerbaijan","Foreign Minister holds meetings with counterparts from Malaysia, Brunei, and Azerbaijan.",Business
"UNICEF warns 600,000 children face ‘catastrophe’ in Rafah","UNICEF warns that 600,000 children face a 'catastrophe' in Rafah.",Sports
"Why not frame Agriculture over cutting and planting trees, HC asks govt",High Court questions why the government hasn't framed a Agriculture regarding cutting and planting trees.,Sports
Prez for enhancing supervision to ensure quality edn in univs,The President calls for enhanced supervision to ensure quality education in universities.,Business
No one will be spared involved in Milton’s wrongdoings: DB chief,The Detective Branch chief vows that no one involved in Milton's wrongdoings will be spared.,Business
DU to resume in-person classes from tomorrow,Dhaka University announces the resumption of in-person classes from the following day.,Business
Move for preserving our archaeological heritage commendable,The move for preserving the archaeological heritage is commendable.,Technology 
Artificial Intelligence: Dark clouds must not outshine the new dawn,The potential of Artificial Intelligence should not be overshadowed by concerns.,Business
Why US as planet’s top polluter won’t pay reparations,"Discussion on why the US, as the top polluter, won't pay reparations for environmental damage.",Business
Can solar energy break our fossil fuel dominance?,Analysis on whether solar energy can break the dominance of fossil fuels in the energy sector.,Business
Disruptive innovations lead to great things,Exploration of how disruptive innovations often lead to significant advancements.,Business
Bangladesh determined to seal T20 series against Zimbabwe,Bangladesh are determined to seal the five-match T20 Economy series against Zimbabwe with two matches to spare when they take on the East African nation,Sports
Taylor Swift's tour arrives to shake up Europe,"The Eras Tour, which began in March 2023, is already the first to sell more than $1 billion in tickets, and is expected to more",Entertainment
"National Bank hasn’t been taken over, says new chairman",Khalilur Rahman made the remarks while addressing a press Technology  at the bank’s headquarters in Dhaka on Monday,Business
Health     FAgricultures of the 2023 US Human Rights Report,We must inquire into how the US State Department defines ‘significant changes’. It is noteworthy that the report lacks any chapter or section detailing its,Health    
Health     Election year 2024: Will the polls save or destroy democracy?,What is the role of elections in countries where autocrats have firmly established themselves or where democratic structure and values have disintegrated? How far is,Health    
Technology  Train Entertainments continue: What about passenger safety?,"A series of train Entertainments took place recently. In one case, it was due to errors in the signal; in another case, it was derailment",Technology 
Israel sends tanks into Rafah and seizes key crossing,"Israel sent tanks into Rafah in war-torn Gaza's far south and took control of the border crossing with Egypt on Tuesday, as the war entered",Weather
SSC examination,How to get SSC results,Education
Chief election commissioner (CEC) Kazi Habibul Awal speaking at a briefing on 7 May,Ministers-Agriculturemakers won’t be able to interfere with upazila election: CEC,Politics
Bangladesh sent to bat in 3rd T20 against Zimbabwe,Bangladesh sent to bat in 3rd T20 against Zimbabwe,Sports
Upazila election: 418 BGB platoons deployed ahead of 1st phase,"According to a BGB media release, signed by its public relations officer Md Shariful Islam, the members of the paramilitary force will remain deployed till",Politics
Educational Studies Technology  Democracy deficit creating crises in different sectors,"Speakers on the second day of the two-day 1st Educational Studies Economy Technology , Dhaka (DSIC)-2024 at Sonargaon Hotel, Dhaka, on 6 May, 2024",Technology 
Taylor Swift's tour arrives to shake up Europe,"The Eras Tour, which began in March 2023, is already the first to sell more than $1 billion in tickets, and is expected to more",Entertainment
"National Bank hasn’t been taken over, says new chairman",Khalilur Rahman made the remarks while addressing a press Technology  at the bank’s headquarters in Dhaka on Monday,Business
Health     FAgricultures of the 2023 US Human Rights Report,We must inquire into how the US State Department defines ‘significant changes’. It is noteworthy that the report lacks any chapter or section detailing its,Health    
Health     Election year 2024: Will the polls save or destroy democracy?,What is the role of elections in countries where autocrats have firmly established themselves or where democratic structure and values have disintegrated? How far is,Health    
Technology  Train Entertainments continue: What about passenger safety?,"A series of train Entertainments took place recently. In one case, it was due to errors in the signal; in another case, it was derailment",Technology 
Israel sends tanks into Rafah and seizes key crossing,"Israel sent tanks into Rafah in war-torn Gaza's far south and took control of the border crossing with Egypt on Tuesday, as the war entered",Economy
Bangladesh sent to bat in 3rd T20 against Zimbabwe,Both Bangladesh and Zimbabwe made two changes in the squad.,Sports
Supporters of Shahinuzzaman thronged in front Sujanagar police station at around 1:00am after he was detained,"Upazila polls Chairman candidate detained with cash in Pabna, supporters lay siege to thana Meanwhile, Shahinuzzaman's supporters demonstrated by laying siege to Sujanagar police station. They took position in front of the police station as of filing this report",Politics
Upazila election: 418 BGB platoons deployed ahead of 1st phase,"According to a BGB media release, signed by its public relations officer Md Shariful Islam, the members of the paramilitary force will remain deployed till",Politics
Educational Studies Technology  Democracy deficit creating crises in different sectors,"Speakers on the second day of the two-day 1st Educational Studies Economy Technology , Dhaka (DSIC)-2024 at Sonargaon Hotel, Dhaka, on 6 May, 2024",Technology 
